"Message",Low,"Genereringen startade."
"Message",Low,"Projektet Unnamed_1 (standardmål):"
"Message",Low,"Bygger med verktygsversion 4.0."
"Message",Low,"Målet PrintILCStartMessage i filen C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\ARM\ilc\IlcInternals.targets från projektet C:\Users\Erik\OneDrive\EduBot\EduBot\Unnamed_1 (målet Build är beroende av det):"
"Message",Low,"Använder IlcMessageTask-aktiviteten från sammansättningen C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\ARM\ilc\ilc.exe."
"Message",Low,"IlcMessageTask-aktivitet"
"Message",High,"Starting .NET Native compilation"
"Message",Low,"IlcMessageTask-aktiviteten slutfördes."
"Message",Low,"Genereringen av målet PrintILCStartMessage i projektet Unnamed_1 lyckades."
"Message",Low,"Målet RunGatekeeper i filen C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\ARM\ilc\IlcInternals.targets från projektet C:\Users\Erik\OneDrive\EduBot\EduBot\Unnamed_1 (målet Build är beroende av det):"
"Message",Low,"Använder WriteLinesToFile-aktiviteten från sammansättningen Microsoft.Build.Tasks.v4.0, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a."
"Message",Low,"WriteLinesToFile-aktivitet"
"Message",Low,"WriteLinesToFile-aktiviteten slutfördes."
"Message",Low,"Använder StartProcessTask-aktiviteten från sammansättningen Microsoft.Build.ILTasks."
"Message",Low,"StartProcessTask-aktivitet"
"Message",Normal,"Launching 'C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\ARM\ilc\tools\Gatekeeper.exe @""C:\Users\Erik\OneDrive\EduBot\EduBot\obj\ARM\Release\ilc\intermediate\gkargs.rsp""'"
"Message",Low,"Microsoft (R) .NET Native Gatekeeper Version 1.0.24208.01 "
"Message",Low,"Copyright (C) Microsoft Corporation.  All rights reserved. "
"Message",Low," "
"Message",Low,"Checking assembly 'C:\Users\Erik\OneDrive\EduBot\EduBot\obj\ARM\Release\ilc\in\EduBot.exe'. "
"Message",Low,"Checking assembly 'C:\Users\Erik\OneDrive\EduBot\EduBot\obj\ARM\Release\ilc\in\Microsoft.IoT.DeviceCore.winmd'. "
"Message",Low,"Checking assembly 'C:\Users\Erik\OneDrive\EduBot\EduBot\obj\ARM\Release\ilc\in\Microsoft.IoT.DeviceHelpers.dll'. "
"Message",Low,"Checking assembly 'C:\Users\Erik\OneDrive\EduBot\EduBot\obj\ARM\Release\ilc\in\Microsoft.IoT.Devices.winmd'. "
